order_date,bp,previous_bp,city,order_date_1,order_month,order_year,price_sold_at,quantity
2022-08-11 02:39:33,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:39:33,8,2022,593700,3
2022-08-11 02:39:33,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:39:33,8,2022,593700,3
2022-08-11 02:39:33,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:39:33,8,2022,593700,3
2022-08-11 02:39:33,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:39:33,8,2022,593700,3
2022-08-11 02:32:21,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:32:21,8,2022,593700,1
2022-08-11 02:32:21,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:32:21,8,2022,593700,1
2022-08-11 02:28:47,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:28:47,8,2022,593700,2
2022-08-11 02:28:47,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:28:47,8,2022,593700,2
2022-08-11 02:17:49,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:17:49,8,2022,611300,1
2022-08-11 02:17:49,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:17:49,8,2022,611300,1
2022-08-11 02:16:59,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:16:59,8,2022,593700,5
2022-08-11 02:16:59,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:16:59,8,2022,593700,5
2022-08-11 02:16:59,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:16:59,8,2022,593700,5
2022-08-11 02:16:22,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:16:22,8,2022,593700,1
2022-08-11 02:15:03,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:15:03,8,2022,593700,1
2022-08-11 02:15:03,584817.0,585000.0,KABUPATEN MALANG,2022-08-11 02:15:03,8,2022,593700,1
2022-08-11 02:14:39,585000.0,584817.0,KABUPATEN MALANG,2022-08-11 02:14:39,8,2022,593700,2
